#;DATETIME;iDay;OPEN;HIGH;LOW;CLOSE;5-Costf L;6-200DMA
17718;1314392400;743;1.4491;1.44971;1.44758;1.4482;0.02916034;1.39761055
17717;1314396000;743;1.44822;1.44965;1.44752;1.44947;0.03172194;1.39761055
17716;1314399600;743;1.44949;1.44981;1.44869;1.44981;0.03281809;1.39761055
17715;1314576000;742;1.44993;1.45025;1.44865;1.44905;0.0321452;1.3980244
17714;1314579600;742;1.44908;1.45019;1.44804;1.44919;0.03136925;1.3980244
17713;1314583200;742;1.44922;1.44986;1.44774;1.44801;0.02906057;1.3980244
17712;1314586800;742;1.44805;1.44904;1.44674;1.44688;0.02653987;1.3980244
17711;1314590400;742;1.44689;1.4487;1.44654;1.44836;0.02939186;1.3980244
17710;1314594000;742;1.44838;1.44899;1.44731;1.44884;0.03397891;1.3980244
17709;1314597600;742;1.44884;1.44923;1.44823;1.44849;0.03427707;1.3980244
17708;1314601200;742;1.44852;1.44973;1.44839;1.44942;0.03982283;1.3980244
17707;1314604800;742;1.4494;1.45476;1.44927;1.45374;0.05068307;1.3980244
17706;1314608400;742;1.45377;1.45484;1.45328;1.45409;0.04935045;1.3980244
17705;1314612000;742;1.454;1.45451;1.4521;1.45288;0.05229613;1.3980244
17704;1314615600;742;1.45289;1.45299;1.45062;1.45181;0.05089509;1.3980244
17703;1314619200;742;1.45179;1.45229;1.44916;1.45006;0.04804629;1.3980244
17702;1314622800;742;1.45004;1.45182;1.44958;1.45016;0.05174601;1.3980244
17701;1314626400;742;1.45013;1.45115;1.4487;1.44974;0.05235422;1.3980244
17700;1314630000;742;1.44969;1.45316;1.44838;1.45246;0.06203269;1.3980244
17699;1314633600;742;1.45252;1.45429;1.4514;1.45324;0.0634238;1.3980244
17698;1314637200;742;1.45324;1.45459;1.45161;1.4536;0.06351128;1.3980244
17697;1314640800;742;1.45359;1.45367;1.45031;1.45085;0.05926181;1.3980244
17696;1314644400;742;1.45084;1.45153;1.44962;1.45043;0.05628676;1.3980244
17695;1314648000;742;1.4505;1.45088;1.44899;1.44955;0.05234038;1.3980244
17694;1314651600;742;1.44952;1.45089;1.44945;1.45074;0.05470312;1.3980244
17693;1314655200;742;1.45073;1.45158;1.45026;1.45089;0.05979089;1.3980244
17692;1314658800;742;1.45091;1.45156;1.45046;1.45099;0.06186121;1.3980244
17691;1314662400;741;1.45093;1.45167;1.45082;1.45136;0.06461526;1.3984666
17690;1314666000;741;1.45138;1.45257;1.45109;1.45225;0.064314;1.3984666
17689;1314669600;741;1.45223;1.45228;1.45132;1.45155;0.06510282;1.3984666
17688;1314673200;741;1.45154;1.45255;1.451;1.45133;0.06525738;1.3984666
17687;1314676800;741;1.45135;1.45171;1.45071;1.4513;0.0702198;1.3984666
17686;1314680400;741;1.45133;1.45246;1.45123;1.45215;0.07411769;1.3984666
17685;1314684000;741;1.45216;1.45249;1.45142;1.45161;0.06990858;1.3984666
17684;1314687600;741;1.45163;1.45191;1.45113;1.45138;0.0712012;1.3984666
17683;1314691200;741;1.45137;1.45326;1.45126;1.45286;0.08115717;1.3984666
17682;1314694800;741;1.45286;1.45297;1.44769;1.4494;0.0732096;1.3984666
17681;1314698400;741;1.44939;1.45071;1.44715;1.44811;0.07414492;1.3984666
17680;1314702000;741;1.44811;1.44839;1.44255;1.44332;0.06385971;1.3984666
17679;1314705600;741;1.44332;1.44426;1.43979;1.44178;0.06075823;1.3984666
17678;1314709200;741;1.44175;1.44175;1.43835;1.44097;0.06127123;1.3984666
17677;1314712800;741;1.44097;1.44164;1.43905;1.44112;0.05850311;1.3984666
17676;1314716400;741;1.44112;1.44317;1.43978;1.44171;0.06066407;1.3984666
17675;1314720000;741;1.44168;1.44429;1.4412;1.44297;0.06928072;1.3984666
17674;1314723600;741;1.44295;1.44468;1.44029;1.44323;0.06900494;1.3984666
17673;1314727200;741;1.44323;1.44515;1.44258;1.44337;0.07003055;1.3984666
17672;1314730800;741;1.44336;1.44347;1.44129;1.44198;0.06626999;1.3984666
17671;1314734400;741;1.44198;1.44263;1.4413;1.4421;0.06796339;1.3984666
17670;1314738000;741;1.44209;1.44527;1.44203;1.44508;0.07780192;1.3984666
17669;1314741600;741;1.4451;1.44648;1.44428;1.44528;0.07886361;1.3984666
17668;1314745200;741;1.44527;1.4453;1.4438;1.444;0.08009695;1.3984666
17667;1314748800;740;1.44409;1.44478;1.44333;1.44379;0.07956836;1.39900355
17666;1314752400;740;1.44376;1.44458;1.443;1.44314;0.07627812;1.39900355
17665;1314756000;740;1.44315;1.44407;1.44302;1.44388;0.07886389;1.39900355
17664;1314759600;740;1.44387;1.44432;1.4416;1.44235;0.07295733;1.39900355
17663;1314763200;740;1.44234;1.4428;1.44181;1.44257;0.07273824;1.39900355
17662;1314766800;740;1.44257;1.44383;1.44245;1.44358;0.07792433;1.39900355
17661;1314770400;740;1.44353;1.44382;1.44309;1.44358;0.07717619;1.39900355
17660;1314774000;740;1.44356;1.44388;1.44272;1.44341;0.0744487;1.39900355
17659;1314777600;740;1.44341;1.44365;1.44234;1.44309;0.07190127;1.39900355
17658;1314781200;740;1.44308;1.44534;1.44268;1.44269;0.07702278;1.39900355
17657;1314784800;740;1.44269;1.44685;1.44181;1.44618;0.0824033;1.39900355
17656;1314788400;740;1.44618;1.44649;1.4428;1.44444;0.08020409;1.39900355
17655;1314792000;740;1.44449;1.44472;1.44265;1.44434;0.0848069;1.39900355
17654;1314795600;740;1.44432;1.44484;1.44319;1.44354;0.08405725;1.39900355
17653;1314799200;740;1.44355;1.44577;1.44347;1.44492;0.08556183;1.39900355
